"","CpG","avg_meth_rate","min_pval","pvals_cloneass","Type"
"AMPL376447","AMPL376447",0.198847677349656,0,0.129707833317578,"Dynamic"
"AMPL371688","AMPL371688",0.100324090745408,6.62019328245833e-11,1,"Dynamic"
"AMPL371137","AMPL371137",0.66409794742528,2.49058551560211e-11,1,"Dynamic"
"AMPL371170","AMPL371170",0.216348577601729,0,0.00139029675747974,"Dynamic"
"AMPL366134","AMPL366134",0.820165646380988,0,1.38369757766955e-05,"Dynamic"
"AMPL366093","AMPL366093",0.111487216420597,0,2.73413905382354e-22,"Dynamic"
"AMPL365920","AMPL365920",0.0554555275477126,0,1,"Dynamic"
"AMPL366060","AMPL366060",0.371840115232268,0,5.28746047324794e-10,"Dynamic"
"AMPL377076","AMPL377076",0.136190133237306,0,1.46508478256272e-16,"Dynamic"
"AMPL366212","AMPL366212",0.650342095786821,1.61170277124256e-09,0.0641134587607486,"Dynamic"
"AMPL355442","AMPL355442",0.0518545192653944,2.55351295663786e-15,0.000157544637008232,"Dynamic"
"AMPL355412","AMPL355412",0.164998199495858,0,1.10006419976987e-16,"Dynamic"
"AMPL371357","AMPL371357",0.0846957148001448,0,0.00121448516914566,"Dynamic"
"AMPL355663","AMPL355663",0.104429240187253,1.03472785895065e-13,0.94809667769426,"Dynamic"
"AMPL355970","AMPL355970",0.641267554915379,3.25746893348189e-07,0,"Dynamic"
"AMPL377391","AMPL377391",0.280374504861362,9.36628552494767e-12,0.000418039829335653,"Dynamic"
"AMPL371668","AMPL371668",0.233201296362981,0,1.30509210087163e-08,"Dynamic"
"AMPL365990","AMPL365990",0.0535830032409077,0,9.34492457418933e-14,"Dynamic"
"AMPL371572","AMPL371572",0.689593086064101,2.44939971805191e-06,2.19501874300288e-16,"Dynamic"
"AMPL365938","AMPL365938",0.377241627655745,0,3.02944446960696e-07,"Dynamic"
"AMPL365905","AMPL365905",0.259488656823913,0,4.00975725411439e-17,"Dynamic"
"AMPL376910","AMPL376910",0.385091825711205,0,3.00967020001735e-16,"Dynamic"
"AMPL366045","AMPL366045",0.0755491537630539,0,0.545830984204171,"Dynamic"
"AMPL376601","AMPL376601",0.287792581922938,4.92494933723719e-13,1,"Dynamic"
"AMPL365939","AMPL365939",0.585163845876843,0,0.278506230286107,"Dynamic"
"AMPL371758","AMPL371758",0.120489737126396,0,0.000188962478790235,"Dynamic"
"AMPL366066","AMPL366066",0.0967230824630907,0,3.8100503428955e-05,"Dynamic"
"AMPL355903","AMPL355903",0.114944184371625,1.98118081873311e-06,1,"Dynamic"
"AMPL371618","AMPL371618",0.241339575081021,0,1.46239217517035e-23,"Dynamic"
"AMPL371676","AMPL371676",0.621678069859561,2.22044604925031e-16,0.0122861979550747,"Dynamic"
"AMPL376711","AMPL376711",0.194238386748289,0,0.336299768336384,"Dynamic"
"AMPL355560","AMPL355560",0.0828231904933375,0,1,"Dynamic"
"AMPL365802","AMPL365802",0.417933021245933,1.3618484118183e-10,1.79340167859451e-74,"Dynamic"
"AMPL365898","AMPL365898",0.072740367302845,0,1,"Dynamic"
"AMPL371673","AMPL371673",0.246597047173207,2.15660608199331e-05,1,"Dynamic"
"AMPL371378","AMPL371378",0.225351098307525,4.68514116391816e-14,1.32703317931221e-130,"Dynamic"
"AMPL366081","AMPL366081",0.335613971912134,0,1.03606643615289e-47,"Dynamic"
"AMPL366000","AMPL366000",0.4715880446525,0,0.00583259997866766,"Dynamic"
"AMPL371214","AMPL371214",0.440907454087144,2.31215047108435e-12,0.0107260896972886,"Dynamic"
"AMPL355849","AMPL355849",0.347641339575082,0,1.84497987681978e-10,"Dynamic"
"AMPL371741","AMPL371741",0.140799423838676,0,4.05747008591551e-26,"Dynamic"
"AMPL371701","AMPL371701",0.130356499819949,0,4.27317199926258e-09,"Dynamic"
"AMPL371188","AMPL371188",0.316672668347137,0,2.1354134113926e-10,"Dynamic"
"AMPL371743","AMPL371743",0.329636298163486,0,5.55769686623352e-48,"Dynamic"
"AMPL366028","AMPL366028",0.174864962189411,0,1.03994656465294e-113,"Dynamic"
"AMPL376554","AMPL376554",0.0617212819589485,0,1,"Dynamic"
"AMPL371788","AMPL371788",0.0859200576161327,0,1,"Dynamic"
"AMPL355637","AMPL355637",0.600792221822114,1.78081307256051e-07,8.72076402536962e-20,"Dynamic"
"AMPL371503","AMPL371503",0.66805905653583,1.03028696685215e-13,1.99037383432766e-11,"Dynamic"
"AMPL371535","AMPL371535",0.185595966870724,0,4.11794944379808e-19,"Dynamic"
"AMPL371418","AMPL371418",0.383003240907457,0,1.2085132535143e-18,"Dynamic"
"AMPL366243","AMPL366243",0.14094346416997,0,0.00171659680962091,"Dynamic"
"AMPL371353","AMPL371353",0.32538710839035,0,0.00723490836364988,"Dynamic"
"AMPL371655","AMPL371655",0.0848397551314366,1.77644565724222e-11,1.35448739294185e-06,"Dynamic"
"AMPL376642","AMPL376642",0.490961469211376,0,5.57385714877832e-07,"Dynamic"
"AMPL365953","AMPL365953",0.508102268635212,8.95669427514179e-10,0.391937635118859,"Dynamic"
"AMPL371580","AMPL371580",0.150018005041412,0,1,"Dynamic"
"AMPL371359","AMPL371359",0.615556355779619,0,1.70481583407008e-15,"Dynamic"
"AMPL365901","AMPL365901",0.184371624054736,0,2.26886324754425e-54,"Dynamic"
"AMPL371570","AMPL371570",0.986028087864602,0.0200893004331559,1,"Dynamic"
"AMPL371814","AMPL371814",0.260568959308606,6.23669893506928e-10,1.77260017049486e-54,"Dynamic"
"AMPL371312","AMPL371312",0.300684191573643,0,1.66103218670645e-11,"Dynamic"
"AMPL365804","AMPL365804",0.563917897011166,1.04962680436138e-07,4.12053742367501e-07,"Dynamic"
"AMPL371677","AMPL371677",0.147569319409435,7.54951656745106e-15,0.000102263632124173,"Dynamic"
"AMPL366031","AMPL366031",0.301764494058334,0,1,"Dynamic"
"AMPL365795","AMPL365795",0.225207057976232,0,2.44077255020546e-40,"Dynamic"
"AMPL371606","AMPL371606",0.208642419877567,1.70195464721523e-07,4.3985894430318e-08,"Dynamic"
"AMPL371716","AMPL371716",0.73438962909615,0,1.12439783083912e-126,"Dynamic"
"AMPL371452","AMPL371452",0.833057256031695,1.16137722216969e-07,6.35378817673442e-26,"Dynamic"
"AMPL371736","AMPL371736",0.678069859560687,0,2.09985496675279e-32,"Dynamic"
"AMPL365943","AMPL365943",0.318473172488297,0,1,"Dynamic"
"AMPL365818","AMPL365818",0.173424558876482,0,7.53971392762942e-26,"Dynamic"
"AMPL371486","AMPL371486",0.818365142239827,0.0709505697217921,1,"Static"
"AMPL366056","AMPL366056",0.241051494418438,2.70635707178002e-08,0.000639544441178265,"Dynamic"
"AMPL377538","AMPL377538",0.208354339214981,2.47122209506845e-05,9.51249212512857e-22,"Dynamic"
"AMPL371185","AMPL371185",0.442851998559599,1.11097242516678e-10,5.81835747059691e-17,"Dynamic"
"AMPL371805","AMPL371805",0.171624054735326,4.2618225615243e-09,1,"Dynamic"
"AMPL371231","AMPL371231",0.879294202376667,0.00778977113292467,7.4184328878164e-14,"Static"
"AMPL371552","AMPL371552",0.403456967951025,0,1,"Dynamic"
"AMPL371720","AMPL371720",0.296290961469206,2.88657986402541e-15,2.23886133768134e-07,"Dynamic"
"AMPL365907","AMPL365907",0.0128195894850558,2.59681165459824e-13,0.886161415063818,"Dynamic"
"AMPL371197","AMPL371197",0.202160604969395,0,2.84396652527269e-11,"Dynamic"
"AMPL371323","AMPL371323",0.926539431040689,0,1,"Dynamic"
"AMPL366142","AMPL366142",0.752538710839036,2.21289653268286e-12,1.01632941170717e-228,"Dynamic"
"AMPL355654","AMPL355654",0.73316528628016,2.00628402780012e-11,1.27580477538961e-169,"Dynamic"
"AMPL365828","AMPL365828",0.241915736406192,0,2.44936601073017e-08,"Dynamic"
"AMPL355639","AMPL355639",0.413755851638456,0.000631315389200027,9.07856283714544e-141,"Static"
"AMPL376721","AMPL376721",0.956859920777819,1.54692519127586e-07,2.86505387887802e-25,"Dynamic"
"AMPL389964","AMPL389964",0.884551674468851,8.23785484271866e-14,0,"Dynamic"
"AMPL390252","AMPL390252",0.936118113071658,0.00332936677398621,1.16588269527328e-05,"Dynamic"
"AMPL365731","AMPL365731",0.624486856319764,0.000629011123281953,0,"Static"
"AMPL376850","AMPL376850",0.601440403312919,0.00141020726287056,0,"Static"
"AMPL376373","AMPL376373",0.937990637378461,3.48500091507109e-05,5.86259723736622e-08,"Dynamic"
"AMPL377317","AMPL377317",0.653583003240915,1.78174319742652e-09,1.90298266359506e-49,"Dynamic"
"AMPL377328","AMPL377328",0.867770975873246,0.0305847139841724,8.14947421859472e-181,"Static"
"AMPL390370","AMPL390370",0.546849117752972,0.0101563931541953,0,"Static"
"AMPL371591","AMPL371591",0.849909974792943,0.0333066029648477,3.43151083732973e-135,"Static"
"AMPL371522","AMPL371522",0.881022686352182,0.000313368625817434,0,"Static"
"AMPL390025","AMPL390025",0.76067698955708,0.0426778516316833,0,"Static"
"AMPL371508","AMPL371508",0.844508462369465,3.55281359887272e-10,0.00465793740394102,"Dynamic"
"AMPL355615","AMPL355615",0.553763053655027,7.5681074266809e-05,0,"Dynamic"
"AMPL376609","AMPL376609",0.915016204537273,6.3120208843026e-06,3.15590771369927e-07,"Dynamic"
"AMPL388228","AMPL388228",0.481238746849114,0.0798857688291363,0,"Static"
"AMPL371634","AMPL371634",0.995750810226864,0.0241513376703586,0.11133886659105,"Dynamic"
"AMPL371541","AMPL371541",0.504501260352899,0.000101656161849428,4.48168961331667e-89,"Dynamic"
"AMPL388797","AMPL388797",0.467266834713724,0.000406352394490828,0,"Static"
"AMPL371547","AMPL371547",0.709038530788618,0.122377431506222,0,"Static"
"AMPL355851","AMPL355851",0.724882967230823,0,5.15877738756562e-40,"Dynamic"
"AMPL376496","AMPL376496",0.774720921858121,0,8.78092876289454e-12,"Dynamic"
"AMPL376957","AMPL376957",0.923514584083544,0.00584861014532922,7.88344344192946e-230,"Dynamic"
"AMPL377097","AMPL377097",0.391789701116314,2.88657986402541e-15,8.87686821556596e-125,"Dynamic"
"AMPL371255","AMPL371255",0.650846236946343,0.000176955581803528,4.10768524837076e-141,"Static"
"AMPL371813","AMPL371813",0.895930860640978,0.00388613779435265,1.46763135564823e-43,"Static"
"AMPL388838","AMPL388838",0.987828592005761,0.076710723848188,1,"Dynamic"
"AMPL376591","AMPL376591",0.879006121714083,0.150173912526832,4.80344810700857e-161,"Static"
"AMPL377144","AMPL377144",0.988620813827872,0.00405701146503312,1,"Dynamic"
"AMPL371421","AMPL371421",0.703781058696435,0,0.187108229722999,"Dynamic"
"AMPL376854","AMPL376854",0.0787180410514941,2.71850716848654e-06,0,"Dynamic"
"AMPL371238","AMPL371238",0.846813107670148,0,6.39289061644858e-05,"Dynamic"
"AMPL388681","AMPL388681",0.46762693554195,0.000406899190194543,0,"Static"
"AMPL371217","AMPL371217",0.815916456607849,0.000504589138320966,1.83774448600501e-238,"Static"
"AMPL371186","AMPL371186",0.153330932661145,1.11022302462516e-16,0.061862360417951,"Dynamic"
"AMPL378478","AMPL378478",0.699171768095071,0.050291756143587,3.67445804523085e-93,"Static"
"AMPL390117","AMPL390117",0.87050774216781,0,1.96547188184447e-07,"Dynamic"
"AMPL390585","AMPL390585",0.604537270435718,0.00161526572814163,1,"Static"
"AMPL390129","AMPL390129",0.710262873604606,0.00340307670106954,0,"Static"
"AMPL371237","AMPL371237",0.66964350018005,0,3.52552411800725e-24,"Dynamic"
"AMPL355844","AMPL355844",0.979978393950307,0.0293645245476304,1,"Dynamic"
"AMPL376597","AMPL376597",0.77032769175369,0,1.32287288384831e-07,"Dynamic"
"AMPL365812","AMPL365812",0.418509182571117,0.0515424273520999,9.73122882261158e-304,"Static"
"AMPL390097","AMPL390097",0.88527187612532,0.00168906575817707,6.52639295548111e-120,"Static"
"AMPL355829","AMPL355829",0.832553114872166,0.0322826205777781,7.07106706407586e-133,"Static"
"AMPL355873","AMPL355873",0.792221822110193,0.0106544463594382,1.61369218154212e-73,"Static"
"AMPL355742","AMPL355742",0.0432841195534749,2.28650275513331e-06,1,"Dynamic"
"AMPL355889","AMPL355889",0.196615052214621,8.69347704934853e-10,2.80834488411421e-11,"Dynamic"
"AMPL365997","AMPL365997",0.588260712999652,3.01636492339163e-07,0.000150098161183474,"Dynamic"
"AMPL376733","AMPL376733",0.469283399351825,8.86424267321217e-12,0,"Dynamic"
"AMPL390626","AMPL390626",0.290025207057982,0.000149777033004339,0,"Static"
"AMPL365730","AMPL365730",0.608786460208857,0.000244251837643872,2.43234085567739e-211,"Static"
"AMPL390006","AMPL390006",0.989629096146921,1.42257147173197e-08,1,"Dynamic"
"AMPL371756","AMPL371756",0.797047173208487,0,2.70480866357296e-135,"Dynamic"
"AMPL355580","AMPL355580",0.850270075621176,0.00603104217982853,0,"Static"
"AMPL365940","AMPL365940",0.877709758732445,5.4270701932424e-08,2.80900333736827e-220,"Dynamic"
"AMPL366193","AMPL366193",0.485992077781778,0,0.000916558348748757,"Dynamic"
"AMPL377424","AMPL377424",0.906157724162766,0.00791317959435967,1.85480223660064e-66,"Dynamic"
"AMPL377537","AMPL377537",0.0610731004681305,8.87253275317912e-05,1,"Dynamic"
"AMPL378928","AMPL378928",0.82254231184732,0.000282169396323084,9.43340905181759e-72,"Static"
"AMPL378501","AMPL378501",0.607922218221102,0.030972980304124,0,"Static"
"AMPL388692","AMPL388692",0.844148361541231,6.7635513967268e-08,7.97871228534948e-112,"Dynamic"
"AMPL355676","AMPL355676",0.73971912135398,0.00200177124087819,7.82676082458032e-135,"Static"
"AMPL355831","AMPL355831",0.494130356499819,0.00184051169309818,0,"Static"
"AMPL376547","AMPL376547",0.976449405833633,0.00343770251932618,0.00499575876607603,"Dynamic"
"AMPL371772","AMPL371772",0.746921137918623,0.000125617615990281,0,"Static"
"AMPL371261","AMPL371261",0.998703637018365,0.115038995829949,1,"Dynamic"
"AMPL371729","AMPL371729",0.529276197335254,0,2.36949247600308e-07,"Dynamic"
"AMPL371483","AMPL371483",0.862153402952826,0.0133959932390204,6.95569703974224e-199,"Static"
"AMPL371172","AMPL371172",0.90126035289881,0.00216353758103804,8.65362711911607e-151,"Dynamic"
"AMPL371792","AMPL371792",0.483831472812384,5.91748872125208e-14,1.5138205237633e-26,"Dynamic"
"AMPL371355","AMPL371355",0.707886208138274,7.72979573105959e-05,0,"Dynamic"
"AMPL355534","AMPL355534",0.805113431760891,4.26746501469566e-08,6.46461388917755e-48,"Dynamic"
"AMPL377174","AMPL377174",0.863017644940583,0,2.38341023989777e-15,"Dynamic"
"AMPL366007","AMPL366007",0.878285920057615,1.13025497849861e-07,1.16195738134842e-09,"Dynamic"
"AMPL366182","AMPL366182",0.860785019805544,0.0108691384980164,0,"Static"
"AMPL371512","AMPL371512",0.424342815988475,0.0528183051971305,0,"Static"
"AMPL390462","AMPL390462",0.985956067698954,0.0582951232918937,0.000121876199850335,"Dynamic"
"AMPL378486","AMPL378486",0.877781778898095,4.45600543164115e-06,0,"Dynamic"
"AMPL371404","AMPL371404",0.306661865322289,0,2.26109484719873e-10,"Dynamic"
"AMPL376643","AMPL376643",0.969535469931582,0.0278632160936956,1.94747190959783e-127,"Dynamic"
"AMPL390336","AMPL390336",0.529276197335261,1.17302260719265e-05,0,"Dynamic"
"AMPL390512","AMPL390512",0.92653943104069,0.0416785376257524,0,"Dynamic"
"AMPL371317","AMPL371317",0.427079582283034,9.4730933182241e-06,0,"Dynamic"
"AMPL371811","AMPL371811",0.800720201656466,6.50202114371723e-12,0,"Dynamic"
"AMPL376577","AMPL376577",0.846669067338857,0.0398874922222474,1.54788263720043e-14,"Static"
"AMPL376593","AMPL376593",0.437522506301765,0.00855708070270345,0,"Static"
"AMPL371251","AMPL371251",0.749513863881896,0.0063041905000244,0,"Static"
"AMPL371471","AMPL371471",0.948505581562837,2.01259840560963e-05,2.10856903781082e-08,"Dynamic"
"AMPL371303","AMPL371303",0.255167446885123,0.0266696107662699,0,"Static"
"AMPL377510","AMPL377510",0.925891249549873,0.00611927755534736,5.09239555993794e-226,"Dynamic"
"AMPL365861","AMPL365861",0.334605689593084,0,2.5100469901141e-10,"Dynamic"
"AMPL371644","AMPL371644",0.589485055815628,3.07947278044285e-06,2.42262154130258e-276,"Dynamic"
"AMPL365729","AMPL365729",0.923010442924023,0.00641009515447233,8.84653486644835e-31,"Dynamic"
"AMPL388345","AMPL388345",0.351170327691755,0.00187431116097503,0,"Static"
"AMPL371773","AMPL371773",0.641699675909231,1.16330470787407e-05,0,"Dynamic"
"AMPL371292","AMPL371292",0.526179330212452,0.00570490862383788,0,"Static"
"AMPL371810","AMPL371810",0.543896290961468,0.0101249929364853,0,"Static"
"AMPL376843","AMPL376843",0.900396110911051,4.00766465569191e-08,3.45407947527625e-83,"Dynamic"
"AMPL390223","AMPL390223",0.347857400072022,0.0244207090523307,0,"Static"
"AMPL371812","AMPL371812",0.797551314368023,0.00185080036972285,0,"Static"
"AMPL390215","AMPL390215",0.999711919337414,1,1,"Dynamic"
"AMPL371589","AMPL371589",0.616420597767375,0,6.22056924549812e-18,"Dynamic"
"AMPL371389","AMPL371389",0.859848757652141,0,1,"Dynamic"
"AMPL371271","AMPL371271",0.887144400432121,0,1.44807133573054e-06,"Dynamic"
"AMPL371265","AMPL371265",0.67778177889809,0,1.96159201731535e-17,"Dynamic"
"AMPL366159","AMPL366159",0.731076701476415,0,8.8170418174979e-10,"Dynamic"
"AMPL371654","AMPL371654",0.767014764133956,9.59596069272095e-10,3.76438811780746e-212,"Dynamic"
"AMPL371420","AMPL371420",0.527979834353613,0,1.34552615897501e-19,"Dynamic"
"AMPL355947","AMPL355947",0.677781778898101,0,9.20048917461441e-244,"Dynamic"
"AMPL390594","AMPL390594",0.996975153042852,0.159069314911215,0.985710229949574,"Dynamic"
"AMPL355546","AMPL355546",0.668347137198415,0,7.36978861238338e-14,"Dynamic"
"AMPL355932","AMPL355932",0.837882607129996,5.66258339299575e-05,0,"Dynamic"
"AMPL365895","AMPL365895",0.692401872524307,0,3.24656593040357e-06,"Dynamic"
"AMPL365894","AMPL365894",0.66380986676269,0,9.43905662173967e-14,"Dynamic"
"AMPL371600","AMPL371600",0.669931580842642,0,4.57039956480131e-20,"Dynamic"
"AMPL355545","AMPL355545",0.974432841195534,0.150699669954693,1,"Dynamic"
"AMPL365945","AMPL365945",0.570615772416278,1.91505689861593e-05,6.34771006191138e-14,"Dynamic"
"AMPL365823","AMPL365823",0.489305005401508,5.7643090300985e-09,2.87387601517128e-24,"Dynamic"
"AMPL365750","AMPL365750",0.749729924378833,0,9.36814713394187e-23,"Dynamic"
"AMPL371732","AMPL371732",0.519697515304286,0.000593364380878536,5.00713368427269e-286,"Static"
"AMPL371479","AMPL371479",0.741951746489021,2.65343302885412e-13,2.00290904667124e-68,"Dynamic"
"AMPL371488","AMPL371488",0.471876125315086,6.99440505513849e-15,5.52288606909853e-191,"Dynamic"
"AMPL365844","AMPL365844",0.373856679870365,0.106935073145066,1.2009696444977e-116,"Static"
"AMPL365790","AMPL365790",0.965214259992798,0.0501952341036097,8.72219839726801e-05,"Dynamic"
"AMPL371358","AMPL371358",0.397695354699312,0,0.00247145198153565,"Dynamic"
"AMPL371262","AMPL371262",0.724882967230823,8.88178419700125e-16,8.08271879319963e-25,"Dynamic"
"AMPL366082","AMPL366082",0.692545912855604,0,3.14654053294181e-18,"Dynamic"
"AMPL365923","AMPL365923",0.417428880086427,2.89068037284679e-08,6.64408450761335e-248,"Dynamic"
"AMPL390593","AMPL390593",0.772848397551315,6.30872987184006e-09,2.89474673939868e-46,"Dynamic"
"AMPL366042","AMPL366042",0.552250630176452,1.81776815821877e-12,6.74740978056424e-20,"Dynamic"
"AMPL371491","AMPL371491",0.778682030968673,9.46072262801856e-05,2.63067479632399e-113,"Dynamic"
"AMPL371429","AMPL371429",0.834137558516391,4.76742536670294e-07,9.25797894405793e-229,"Dynamic"
"AMPL376551","AMPL376551",0.776665466330574,0,1.64903408620069e-07,"Dynamic"
"AMPL376320","AMPL376320",0.724162765574359,0.19968028581065,2.31456406550354e-59,"Static"
"AMPL389990","AMPL389990",0.624126755491534,7.58145057844217e-09,1.53699675610816e-07,"Dynamic"
"AMPL366090","AMPL366090",0.352466690673385,0,9.36681424092709e-40,"Dynamic"
"AMPL376917","AMPL376917",0.449693914296,0,1.29578271422728e-25,"Dynamic"
"AMPL376929","AMPL376929",0.683975513143687,0.000146498926796745,6.10740838284796e-99,"Static"
"AMPL388261","AMPL388261",0.799063737846597,4.41632801558844e-05,9.65307280953151e-116,"Dynamic"
"AMPL366052","AMPL366052",0.714368023046456,0,1.09021934533113e-45,"Dynamic"
"AMPL366022","AMPL366022",0.762549513863878,0,4.36585784452805e-18,"Dynamic"
"AMPL388732","AMPL388732",0.630104429240188,0,7.89143840400612e-17,"Dynamic"
