"","CpG","avg_meth_rate","min_pval","pvals_cloneass","Type"
"AMPL390447","AMPL390447",0.72193014043932,0.00538010721796989,2.36482300421729e-259,"Static"
"AMPL390601","AMPL390601",0.805689593086059,0.00133742206351828,0,"Static"
"AMPL366088","AMPL366088",0.474684911775296,0,2.30960983869279e-24,"Dynamic"
"AMPL365853","AMPL365853",0.437018365142233,7.99504906723314e-12,3.86424534472007e-05,"Dynamic"
"AMPL390570","AMPL390570",0.664314007922224,0.00197135766541034,0,"Static"
"AMPL366029","AMPL366029",0.261937342455882,0.00155686941197741,0,"Static"
"AMPL388788","AMPL388788",0.527691753691031,0,4.77860319668423e-33,"Dynamic"
"AMPL365896","AMPL365896",0.882247029168166,0,0.000782087749723683,"Dynamic"
"AMPL388408","AMPL388408",0.617788980914649,0.000119616552897828,0,"Static"
"AMPL388483","AMPL388483",0.603312927619734,0,3.21330719459475e-11,"Dynamic"
"AMPL389956","AMPL389956",0.318905293482165,0.00993902221856557,0,"Static"
"AMPL389970","AMPL389970",0.757580122434261,7.7715611723761e-16,0,"Dynamic"
"AMPL388223","AMPL388223",0.967662945624775,0.055529650715443,1,"Dynamic"
"AMPL365981","AMPL365981",0.25603168887288,1.08387576691626e-09,1.55550043149688e-60,"Dynamic"
"AMPL390597","AMPL390597",0.489016924738922,3.33066907387547e-16,3.31160246804355e-22,"Dynamic"
"AMPL366053","AMPL366053",0.264314007922219,0,6.6591293068317e-19,"Dynamic"
"AMPL390487","AMPL390487",0.667770975873244,4.44089209850063e-16,3.66211273141273e-12,"Dynamic"
"AMPL376483","AMPL376483",0.74677709758733,1.09622097976825e-06,1,"Dynamic"
"AMPL388272","AMPL388272",0.867482895210661,0.000322766178956546,8.33769445759442e-282,"Static"
"AMPL388372","AMPL388372",0.807634137558511,0.000989044633479041,0,"Static"
"AMPL388655","AMPL388655",0.420453727043574,3.21964677141295e-15,1.03931096017698e-06,"Dynamic"
"AMPL390581","AMPL390581",0.947641339575079,0.0068926291315573,5.23275305929443e-06,"Dynamic"
"AMPL388628","AMPL388628",0.831760893050058,0.00131184595993528,6.2817254931074e-70,"Static"
"AMPL388687","AMPL388687",0.238170687792582,4.25692836536484e-09,1.92026168612343e-133,"Dynamic"
"AMPL376587","AMPL376587",0.602160604969397,0,7.59782251454588e-167,"Dynamic"
"AMPL388762","AMPL388762",0.626863521786099,5.16522102866901e-09,6.3956907640296e-302,"Dynamic"
"AMPL388291","AMPL388291",0.553186892329855,0,1.57259877683443e-12,"Dynamic"
"AMPL376465","AMPL376465",0.806193734245589,0.00045093790693751,0,"Static"
"AMPL388609","AMPL388609",0.986676269355419,0.0415782251266913,1,"Dynamic"
"AMPL389976","AMPL389976",0.998343536190133,0.0690705987524322,1,"Dynamic"
"AMPL388660","AMPL388660",0.86489016924739,4.10752294510708e-07,3.44460153035293e-91,"Dynamic"
"AMPL388494","AMPL388494",0.847749369823555,0.000236984651578287,3.21488662592293e-72,"Static"
"AMPL388807","AMPL388807",0.0977313647821427,1.95234396316302e-07,1.28532828098095e-114,"Dynamic"
"AMPL388710","AMPL388710",0.388980914656107,1.86531456947137e-10,5.39629160308142e-16,"Dynamic"
"AMPL388618","AMPL388618",0.9731364782139,1.58900259443762e-05,0.232296756544317,"Dynamic"
"AMPL365753","AMPL365753",0.662009362621531,2.08296920489737e-06,7.36395775823772e-123,"Dynamic"
"AMPL376897","AMPL376897",0.891321570039613,0.00181492322937171,0,"Static"
"AMPL388620","AMPL388620",0.656679870363701,0.00346050664926256,0,"Static"
"AMPL376501","AMPL376501",0.990133237306447,0.000598171839174322,1,"Dynamic"
"AMPL390524","AMPL390524",0.825423118473176,0.11572931595304,3.94333640721245e-58,"Static"
"AMPL376938","AMPL376938",0.88001440403313,1.41735401193444e-10,3.59324772616839e-65,"Dynamic"
"AMPL376318","AMPL376318",0.391573640619367,2.72030509229637e-10,2.06644225578804e-63,"Dynamic"
"AMPL376298","AMPL376298",0.801008282319049,0.00152692936986032,6.19214708573668e-278,"Static"
"AMPL376389","AMPL376389",0.851062297443287,3.58602036953926e-13,2.48445747857949e-06,"Dynamic"
"AMPL388818","AMPL388818",0.289953186892328,0,1.66604195034363e-14,"Dynamic"
"AMPL371802","AMPL371802",0.717464890169243,4.30810942475546e-11,3.8495637566542e-137,"Dynamic"
"AMPL388428","AMPL388428",0.0474612891609658,6.38909030947765e-06,1.13808442952143e-100,"Dynamic"
"AMPL390606","AMPL390606",0.948073460568959,7.72517192215716e-07,3.88415614044913e-13,"Dynamic"
"AMPL388351","AMPL388351",0.640331292761975,5.86905298805007e-08,0.0100719525804976,"Dynamic"
"AMPL371757","AMPL371757",0.794670507742162,2.01127304088056e-05,2.34183585356797e-184,"Dynamic"
"AMPL388260","AMPL388260",0.767879006121711,0.0451239609599282,2.60811626084077e-103,"Static"
"AMPL388402","AMPL388402",0.908822470291682,0.000121308905431494,1,"Dynamic"
"AMPL388730","AMPL388730",0.935109830752612,0.151152760418123,3.35675953018991e-14,"Dynamic"
"AMPL388354","AMPL388354",0.804249189773134,0,8.84405082960928e-09,"Dynamic"
"AMPL388447","AMPL388447",0.969895570759811,1.34584177359232e-05,0.118081823403741,"Dynamic"
"AMPL390547","AMPL390547",0.43730644580482,7.4993432142012e-07,6.72296097065646e-45,"Dynamic"
"AMPL388634","AMPL388634",0.515808426359372,0.0106584289097627,0,"Static"
"AMPL390256","AMPL390256",0.477493698235505,2.62935540007447e-08,2.88495792831746e-161,"Dynamic"
"AMPL388671","AMPL388671",0.119841555635577,0,1,"Dynamic"
"AMPL390079","AMPL390079",0.681166726683471,0.00130384929459348,0,"Static"
"AMPL376650","AMPL376650",0.0679150162045371,0,2.61251602573953e-08,"Dynamic"
"AMPL388631","AMPL388631",0.866546633057257,0.0171179683315618,6.90412191645597e-153,"Static"
"AMPL388478","AMPL388478",0.772488296723092,0.0208266488353726,3.77290824975143e-133,"Static"
"AMPL388530","AMPL388530",0.689593086064101,0.0503114228119113,5.0354909436981e-39,"Static"
"AMPL388514","AMPL388514",0.888080662585519,1.07717286423892e-07,0,"Dynamic"
"AMPL376689","AMPL376689",0.176089305005401,0,5.98918836011758e-13,"Dynamic"
"AMPL371322","AMPL371322",0.506085703997122,2.22044604925031e-16,0,"Dynamic"
"AMPL366150","AMPL366150",0.955995678790062,0.0481712889661294,0.158525461505061,"Dynamic"
"AMPL390130","AMPL390130",0.8566798703637,0.000172496350873685,0,"Static"
"AMPL376310","AMPL376310",0.760965070219667,0.0400490355463199,0,"Static"
"AMPL388450","AMPL388450",0.811667266834711,0.0029133808065398,0,"Static"
"AMPL388761","AMPL388761",0.767590925459128,0.000394638877082021,1.20179332665596e-32,"Static"
"AMPL388758","AMPL388758",0.783291321570044,9.65926984608512e-06,9.47642408991698e-20,"Dynamic"
"AMPL388232","AMPL388232",0.659704717320845,0,5.25718192958081e-16,"Dynamic"
"AMPL366102","AMPL366102",0.362837594526467,2.05336505576525e-08,1,"Dynamic"
"AMPL388796","AMPL388796",0.706661865322285,0.00816110115194779,0,"Static"
"AMPL388861","AMPL388861",0.673676629456246,0.0138977991071461,6.46059102020471e-47,"Static"
"AMPL376698","AMPL376698",0.79863161685272,5.12262754437387e-09,1.3392160724774e-124,"Dynamic"
"AMPL388801","AMPL388801",0.384587684551674,1.90970106395127e-09,5.10460231722919e-54,"Dynamic"
"AMPL388346","AMPL388346",0.917680950666191,3.33177929690009e-13,3.69807565122962e-19,"Dynamic"
"AMPL388246","AMPL388246",0.766438602808784,0,4.03586263718923e-11,"Dynamic"
"AMPL388335","AMPL388335",0.591933741447606,0,1.81399657793616e-19,"Dynamic"
"AMPL388203","AMPL388203",0.0603528988116675,0,1.68774280855386e-16,"Dynamic"
"AMPL388780","AMPL388780",0.926467410875045,0.000884694935260222,4.784429882123e-42,"Dynamic"
"AMPL376517","AMPL376517",0.241627655743607,0,1.93908654934964e-184,"Dynamic"
"AMPL388186","AMPL388186",0.923082463089665,0,0.568639657567102,"Dynamic"
"AMPL389962","AMPL389962",0.158444364422044,0.0445447453784075,3.5327723396841e-08,"Dynamic"
"AMPL390347","AMPL390347",0.995894850558156,0.00316728817355072,1,"Dynamic"
"AMPL388535","AMPL388535",0.983435361901333,0.137180987605758,1,"Dynamic"
"AMPL390499","AMPL390499",0.964494058336338,0.00960479996053631,2.15292502045007e-11,"Dynamic"
"AMPL388355","AMPL388355",0.817572920417717,0.00010079623717274,6.33946148679388e-23,"Dynamic"
"AMPL388466","AMPL388466",0.23622614332013,8.27671264858054e-13,7.33865963690923e-06,"Dynamic"
"AMPL371208","AMPL371208",0.166438602808786,2.68673971959288e-14,0.0401776366746855,"Dynamic"
"AMPL376470","AMPL376470",0.549369823550596,1.66089364483923e-13,3.08477400792838e-17,"Dynamic"
"AMPL390220","AMPL390220",0.927979834353626,0.00043025773156713,7.45056821802877e-25,"Dynamic"
"AMPL365733","AMPL365733",0.291609650702196,0,1.47630932310799e-77,"Dynamic"
"AMPL390037","AMPL390037",0.663449765934467,2.22044604925031e-15,7.42101598835474e-39,"Dynamic"
"AMPL388527","AMPL388527",0.999567879006122,0.0216594648277157,1,"Dynamic"
"AMPL371607","AMPL371607",0.760172848397548,0,1.32199661587217e-16,"Dynamic"
"AMPL366035","AMPL366035",0.67396471011883,3.70839589480809e-07,1.55422656310764e-50,"Dynamic"
"AMPL388561","AMPL388561",0.792293842275837,4.44089209850063e-16,1,"Dynamic"
"AMPL388770","AMPL388770",0.391717680950665,0,2.83438863043226e-20,"Dynamic"
"AMPL371584","AMPL371584",0.576089305005394,4.09477636387212e-06,1.45753380338802e-32,"Dynamic"
"AMPL376449","AMPL376449",0.711271155923658,0.00638612341884981,0,"Static"
"AMPL388341","AMPL388341",0.485415916456608,0,7.53869459401185e-17,"Dynamic"
"AMPL376728","AMPL376728",0.767590925459126,4.98330265941149e-11,1.56306006309699e-188,"Dynamic"
"AMPL388743","AMPL388743",0.527475693194091,0.000883635801190885,1.83065926700465e-08,"Static"
"AMPL389965","AMPL389965",0.647101188332737,0.000468816377876546,5.1765363045653e-205,"Static"
"AMPL390408","AMPL390408",0.820453727043573,1.14866782752188e-10,1.2954228325423e-173,"Dynamic"
"AMPL388704","AMPL388704",0.900972272236222,0,8.29051060796372e-93,"Dynamic"
"AMPL376635","AMPL376635",0.111415196254951,3.22575299804839e-12,1.08841865655632e-19,"Dynamic"
"AMPL376822","AMPL376822",0.705365502340656,0.0868790438280195,0,"Static"
"AMPL388622","AMPL388622",0.989124954987397,2.59303007954514e-08,1.18693119142756e-54,"Dynamic"
"AMPL388484","AMPL388484",0.869715520345697,0.0747419446582224,0,"Static"
"AMPL365968","AMPL365968",0.641915736406197,1.84297022087776e-14,2.89538268217657e-06,"Dynamic"
"AMPL388258","AMPL388258",0.642491897731365,2.6379141859767e-06,3.21971435739589e-16,"Dynamic"
"AMPL388686","AMPL388686",0.931580842635944,7.32246198309472e-06,5.08806383095567e-265,"Dynamic"
"AMPL388512","AMPL388512",0.9074540871444,9.54013721583546e-05,1.49773116618156e-292,"Dynamic"
"AMPL388458","AMPL388458",0.682895210658985,0.158996521237473,0,"Static"
"AMPL366136","AMPL366136",0.149297803384948,0,1,"Dynamic"
"AMPL388455","AMPL388455",0.424414836154123,0,2.34895480934761e-12,"Dynamic"
"AMPL376502","AMPL376502",0.955131436802305,0.0316638506739189,1.63344784737982e-34,"Dynamic"
"AMPL388549","AMPL388549",0.767879006121711,2.1094237467878e-15,3.30517613919647e-71,"Dynamic"
"AMPL376366","AMPL376366",0.853583003240907,3.02699900556203e-06,1.2139354367335e-175,"Dynamic"
"AMPL371643","AMPL371643",0.518113071660065,0.00238478912472739,5.48347017496692e-144,"Static"
"AMPL388299","AMPL388299",0.532589124954982,8.36042144924942e-06,5.43460147588844e-207,"Dynamic"
"AMPL376820","AMPL376820",0.583795462729562,0.0651217788321384,0,"Static"
"AMPL388421","AMPL388421",0.317897011163126,0,2.65899095417626e-10,"Dynamic"
"AMPL388285","AMPL388285",0.571119913575802,2.15376894008301e-06,6.98696819881981e-97,"Dynamic"
"AMPL388552","AMPL388552",0.753402952826787,3.97984798228279e-07,4.36780100631502e-113,"Dynamic"
"AMPL388638","AMPL388638",0.404825351098308,7.22387791141088e-07,0,"Dynamic"
"AMPL388473","AMPL388473",0.95261073100468,1.00754994356578e-05,7.72947791898909e-26,"Dynamic"
"AMPL388347","AMPL388347",0.921209938782857,9.82274836180963e-05,1,"Dynamic"
"AMPL390420","AMPL390420",0.844652502700756,0.00579340587862576,0,"Static"
"AMPL376955","AMPL376955",0.859416636658262,0,1.95386000353856e-44,"Dynamic"
"AMPL388551","AMPL388551",0.676557436082102,4.76012668482184e-06,1.6605608231126e-21,"Dynamic"
"AMPL388678","AMPL388678",0.175513143680229,0,0.360072161751623,"Dynamic"
"AMPL388395","AMPL388395",0.79063737846597,0.0141615397326256,1.72852084665357e-111,"Static"
"AMPL376948","AMPL376948",0.944544472452283,0.000375764631154074,1,"Dynamic"
"AMPL388262","AMPL388262",0.73158084263594,4.85674833683447e-11,2.02826594880548e-47,"Dynamic"
"AMPL376497","AMPL376497",0.948145480734607,3.8657965717448e-13,1,"Dynamic"
"AMPL376696","AMPL376696",0.935469931580843,1.07645941049839e-08,1.34341685709513e-06,"Dynamic"
"AMPL390052","AMPL390052",0.840619373424567,0.000422210503164488,1.96217270386208e-290,"Static"
"AMPL388462","AMPL388462",0.825207057976236,0.00926063636151064,0,"Static"
"AMPL388705","AMPL388705",0.867915016204539,0,1.49694232700909e-26,"Dynamic"
"AMPL388399","AMPL388399",0.940655383507382,1.38208089228709e-06,2.78427996335914e-17,"Dynamic"
"AMPL365899","AMPL365899",0.996975153042852,0.0462926479689244,1,"Dynamic"
"AMPL388227","AMPL388227",0.994814548073461,0.0958939792812638,1,"Dynamic"
"AMPL390407","AMPL390407",0.817140799423838,0.000188183043491441,5.53126490001995e-249,"Static"
"AMPL376300","AMPL376300",0.652070579762333,1.66533453693773e-15,5.79704092173046e-96,"Dynamic"
"AMPL371550","AMPL371550",0.985451926539431,0.00914483865335902,1,"Dynamic"
"AMPL388498","AMPL388498",0.990853438962909,0.000597977098598546,1.39959780429029e-21,"Dynamic"
"AMPL388576","AMPL388576",0.563413755851638,0,2.88959878694659e-31,"Dynamic"
"AMPL388583","AMPL388583",0.944184371624052,9.07377082137728e-07,3.23413019650581e-68,"Dynamic"
"AMPL388659","AMPL388659",0.802160604969393,0,1.46671787707534e-10,"Dynamic"
"AMPL388750","AMPL388750",0.807418077061576,1.54112725914146e-08,5.32785788386512e-23,"Dynamic"
"AMPL388196","AMPL388196",0.537918617212816,7.8420472338081e-09,2.26918988113404e-63,"Dynamic"
"AMPL365903","AMPL365903",0.818149081742888,0,8.1259717548613e-18,"Dynamic"
"AMPL388787","AMPL388787",0.712567518905289,9.3089778976152e-05,1.86454460820043e-306,"Dynamic"
"AMPL371416","AMPL371416",0.162117392870005,1.97319938166629e-12,1.0477385260123e-170,"Dynamic"
"AMPL388764","AMPL388764",0.458048253510985,0.000388634680666744,2.89384201590875e-40,"Static"
"AMPL388516","AMPL388516",0.967518905293482,0.0369378914418151,0,"Dynamic"
"AMPL388340","AMPL388340",0.853006841915737,6.84020795560514e-09,2.44488458118985e-84,"Dynamic"
"AMPL388669","AMPL388669",0.836658264314016,8.08965928689176e-08,1.81358601961151e-13,"Dynamic"
"AMPL390342","AMPL390342",0.809722722362258,7.33258935026182e-06,0,"Dynamic"
"AMPL390501","AMPL390501",0.843212099387828,0.0157314266435279,1.16725500417652e-44,"Static"
"AMPL371192","AMPL371192",0.977529708318329,1.28822255307526e-07,1.44293913839401e-06,"Dynamic"
"AMPL371350","AMPL371350",0.873676629456251,0,4.65953350546012e-27,"Dynamic"
"AMPL371563","AMPL371563",0.559236586244148,0,8.44555580779364e-49,"Dynamic"
"AMPL388267","AMPL388267",0.652430680590572,0.0245419811675553,4.68165498462387e-152,"Static"
"AMPL388519","AMPL388519",0.594742527907816,1.44621159492431e-08,0,"Dynamic"
"AMPL371481","AMPL371481",0.816204537270435,0,0.000123131964318162,"Dynamic"
"AMPL388523","AMPL388523",0.305365502340655,0,7.69187570590605e-30,"Dynamic"
"AMPL371259","AMPL371259",0.720705797623334,0,1.18955255276271e-35,"Dynamic"
"AMPL371738","AMPL371738",0.799927979834351,0.00231599887697687,0,"Static"
"AMPL378293","AMPL378293",0.492473892689952,1.11022302462516e-16,2.48461732345628e-06,"Dynamic"
"AMPL376786","AMPL376786",0.854303204897371,6.26990253049797e-08,1.95772633287829e-31,"Dynamic"
"AMPL388308","AMPL388308",0.939503060857042,0.0338226464842097,3.2263996950129e-138,"Dynamic"
"AMPL388781","AMPL388781",0.665970471732083,0.050993046463445,1.13501352355793e-283,"Static"
"AMPL371745","AMPL371745",0.673604609290598,0,1.37165798560032e-14,"Dynamic"
"AMPL388745","AMPL388745",0.771335974072741,0.0132620094250142,0,"Static"
"AMPL388463","AMPL388463",0.744112351458409,9.64075241860485e-09,8.9493397702033e-20,"Dynamic"
"AMPL388544","AMPL388544",0.976593446164926,0.00118473612813796,1,"Dynamic"
"AMPL389969","AMPL389969",0.973352538710838,0.000355418839020682,1,"Dynamic"
"AMPL388279","AMPL388279",0.862801584443644,0.0169508776051994,6.29203494487534e-277,"Static"
"AMPL371202","AMPL371202",0.678862081382786,0.00990948966957694,0,"Static"
"AMPL388442","AMPL388442",0.780698595606771,0.0081807218845954,0,"Static"
"AMPL371406","AMPL371406",0.926971552034573,0.00406709361137247,3.08777732252978e-40,"Dynamic"
"AMPL390432","AMPL390432",0.86561037090385,0.0299003597838351,9.5610217281452e-81,"Static"
"AMPL371562","AMPL371562",0.98545192653943,0.00454212855616609,1,"Dynamic"
"AMPL388465","AMPL388465",0.636658264314008,3.52551501764387e-05,2.56354031834608e-175,"Dynamic"
"AMPL371555","AMPL371555",0.88858480374505,0.000706476816211832,1.75158873779381e-20,"Static"
"AMPL389988","AMPL389988",0.719409434641696,0.00140414145140788,3.61373477952831e-142,"Static"
"AMPL371327","AMPL371327",0.789341015484336,8.34299296315066e-12,5.80095351344499e-33,"Dynamic"
"AMPL377634","AMPL377634",0.911919337414478,4.50472159291282e-05,7.15678247865284e-12,"Dynamic"
"AMPL388836","AMPL388836",0.726107310046813,5.41753732374861e-05,1.94471365695793e-10,"Dynamic"
"AMPL390397","AMPL390397",0.872812387468493,0.000867995854314074,0.000326031573055693,"Static"
"AMPL388489","AMPL388489",0.851350378105869,0.111786108319896,0,"Static"
"AMPL371674","AMPL371674",0.968815268275115,0.00302024606474616,1.60205709052406e-08,"Dynamic"
"AMPL388468","AMPL388468",0.956283759452648,0.00452390652756918,1,"Dynamic"
"AMPL371476","AMPL371476",0.811091105509539,0.0187859957743772,2.58141576985729e-47,"Static"
"AMPL371466","AMPL371466",0.562045372704364,9.12995479218637e-09,9.03567260310994e-49,"Dynamic"
"AMPL371764","AMPL371764",0.882895210658981,0.00606391176905718,7.06353647694419e-62,"Static"
"AMPL390235","AMPL390235",0.940583363341735,0.0112503260766553,2.02168770200204e-127,"Dynamic"
"AMPL388782","AMPL388782",0.973280518545192,0.095931372901607,1,"Dynamic"
"AMPL371324","AMPL371324",0.951602448685631,8.86897222329708e-11,1,"Dynamic"
"AMPL388775","AMPL388775",0.271011883327331,0.000142957546073075,0,"Static"
"AMPL390374","AMPL390374",0.948073460568959,0.0068152319850332,1,"Dynamic"
"AMPL371524","AMPL371524",0.653583003240905,5.54289947274356e-11,2.69388432298132e-28,"Dynamic"
"AMPL390274","AMPL390274",0.929996398991717,3.30276307768385e-05,1,"Dynamic"
"AMPL388433","AMPL388433",0.711919337414477,0,2.41762649904025e-36,"Dynamic"
"AMPL388593","AMPL388593",0.831904933381345,0.000737739145900917,1.03824020613627e-36,"Static"
"AMPL388242","AMPL388242",0.452934821750089,0.00144609339606305,0,"Static"
"AMPL388286","AMPL388286",0.938926899531868,0.000164667804993246,9.62935104771246e-10,"Dynamic"
"AMPL388663","AMPL388663",0.417861001080303,1.6620985476834e-08,7.8347636577276e-73,"Dynamic"
"AMPL377123","AMPL377123",0.265610370903854,6.66133814775094e-16,3.10086123968007e-20,"Dynamic"
"AMPL388579","AMPL388579",0.981850918257113,0.0569282974436833,0.000158841606305738,"Dynamic"
"AMPL390555","AMPL390555",0.654159164566083,0,0.0114884349482821,"Dynamic"
"AMPL388427","AMPL388427",0.487864602088584,0.00474127266058677,0,"Static"
"AMPL388684","AMPL388684",0.753763053655033,0.0153037601697064,0,"Static"
"AMPL388795","AMPL388795",0.968023046453008,2.9189575880828e-06,0.000589355419463889,"Dynamic"
"AMPL371656","AMPL371656",0.918401152322654,0.0235689368387014,2.39737571550699e-31,"Dynamic"
"AMPL388365","AMPL388365",0.836082102988835,0,3.67140981574202e-05,"Dynamic"
